,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
37,10.4,Blue,yuumi,ornn,leblanc,senna,gangplank,aphelios,jarvaniv,missfortune,gragas,tahmkench,irelia,nautilus,yasuo,rumble,lulu,camille,syndra,ziggs
38,10.4,Red,senna,aphelios,leblanc,pantheon,kalista,sett,jarvaniv,missfortune,ezreal,gragas,braum,leona,azir,yuumi,syndra,tahmkench,zoe,nautilus
39,10.4,Red,gangplank,ornn,jarvaniv,senna,sett,missfortune,kalista,nautilus,braum,renekton,corki,cassiopeia,sejuani,leesin,gragas,syndra,taliyah,velkoz
40,10.4,Red,pantheon,ornn,yuumi,senna,sett,lucian,leesin,missfortune,elise,thresh,kalista,blitzcrank,varus,leona,nautilus,aatrox,veigar,gangplank
41,10.4,Blue,jarvaniv,ornn,azir,aphelios,senna,zoe,elise,missfortune,ezreal,yuumi,sejuani,syndra,olaf,leblanc,orianna,gangplank,leesin,lucian
42,10.4,Red,rumble,pantheon,leblanc,aphelios,missfortune,ornn,sejuani,sett,nautilus,trundle,kalista,ashe,corki,varus,xayah,kaisa,syndra,zoe
43,10.4,Blue,pantheon,aphelios,elise,sett,zoe,ornn,missfortune,sejuani,jarvaniv,rumble,xayah,braum,ezreal,thresh,nautilus,tahmkench,varus,aatrox
44,10.4,Blue,zoe,ornn,rumble,aphelios,senna,sett,jarvaniv,missfortune,kalista,sejuani,lucian,nautilus,taric,azir,thresh,blitzcrank,leblanc,syndra
45,10.4,Blue,elise,rumble,senna,aphelios,lucian,sett,leesin,missfortune,kalista,nautilus,jarvaniv,mordekaiser,gragas,syndra,renekton,leblanc,sejuani,zoe
46,10.4,Blue,zoe,ornn,pantheon,sett,sejuani,senna,jarvaniv,ziggs,leesin,tahmkench,syndra,lucian,nan,tristana,corki,ekko,gangplank,jax
47,10.4,Red,senna,pantheon,rumble,elise,yuumi,sett,aphelios,ornn,jarvaniv,thresh,missfortune,leesin,orianna,sejuani,reksai,azir,varus,leblanc
48,10.4,Red,rumble,aphelios,pantheon,sett,missfortune,senna,jarvaniv,kalista,tahmkench,zoe,leesin,thresh,sejuani,nautilus,leona,aatrox,trundle,gangplank
49,10.4,Red,jarvaniv,ornn,gangplank,senna,sett,leesin,aphelios,zoe,leblanc,missfortune,leona,lucian,yuumi,tahmkench,aatrox,camille,thresh,braum
50,10.3,Blue,gragas,aphelios,elise,pantheon,zoe,missfortune,ezreal,yuumi,leona,sett,rumble,renekton,olaf,corki,aatrox,jarvaniv,orianna,ekko
51,10.3,Red,pantheon,ornn,jarvaniv,aphelios,missfortune,elise,ezreal,zoe,ashe,lucian,nautilus,olaf,thresh,leesin,sejuani,mordekaiser,senna,aatrox
52,10.3,Blue,pantheon,ornn,elise,soraka,jarvaniv,rumble,leona,reksai,aphelios,braum,leblanc,varus,nautilus,missfortune,ashe,aatrox,gragas,vladimir
53,10.3,Blue,soraka,rumble,gragas,zoe,ornn,aphelios,aatrox,lucian,jarvaniv,syndra,irelia,sejuani,nautilus,leesin,olaf,gangplank,thresh,nan
54,10.3,Blue,soraka,rumble,sett,ornn,elise,aphelios,gragas,rakan,aatrox,zoe,thresh,mordekaiser,yuumi,leblanc,galio,morgana,sejuani,camille
55,10.3,Blue,sett,aphelios,yuumi,elise,soraka,jarvaniv,leesin,missfortune,pantheon,varus,mordekaiser,leona,zoe,irelia,nautilus,thresh,vladimir,neeko
56,10.3,Red,pantheon,jarvaniv,lucian,sett,ornn,missfortune,leesin,thresh,nautilus,sejuani,fiora,ryze,aatrox,leblanc,mordekaiser,corki,renekton,cassiopeia
57,10.3,Red,pantheon,lucian,soraka,aphelios,sett,missfortune,gragas,ornn,aatrox,ekko,ryze,senna,nautilus,xayah,kalista,leona,syndra,alistar
58,10.3,Blue,elise,soraka,rumble,sett,pantheon,ornn,braum,jarvaniv,ezreal,yuumi,leblanc,varus,leesin,lucian,aphelios,aatrox,olaf,cassiopeia
59,10.3,Red,ornn,aphelios,elise,pantheon,sett,missfortune,gragas,varus,jarvaniv,zoe,leona,braum,camille,tahmkench,thresh,nautilus,renekton,kennen
60,10.3,Red,jarvaniv,pantheon,aatrox,sett,lucian,missfortune,rakan,xayah,elise,ornn,qiyana,fiora,leona,ryze,gangplank,nautilus,sion,velkoz
61,10.3,Blue,lucian,pantheon,elise,soraka,ornn,aphelios,rakan,sett,leona,rumble,aatrox,ryze,renekton,karthus,jarvaniv,gangplank,leesin,leblanc
62,10.3,Red,jarvaniv,pantheon,elise,sett,ornn,lucian,missfortune,rumble,gragas,thresh,soraka,leesin,mordekaiser,fiora,aatrox,kalista,sion,karthus
63,10.3,Red,rumble,aphelios,soraka,pantheon,sona,elise,jarvaniv,missfortune,leona,syndra,camille,irelia,renekton,leblanc,corki,aatrox,varus,fiora
64,10.3,Red,ekko,pantheon,lucian,sett,renekton,aphelios,jarvaniv,rakan,leesin,nautilus,leblanc,mordekaiser,syndra,zoe,rumble,irelia,ryze,aatrox
65,10.3,Blue,rumble,syndra,elise,aphelios,ornn,sett,aatrox,senna,rakan,xayah,reksai,gragas,sejuani,lissandra,leesin,karthus,leblanc,zoe
